binary,complex
"[1, 1, 1, 1]",(0.4297679108123921+1.4501572954483044j)
"[1, 1, 0, 0]",(1.6534633424568144-2.376675905019335j)
"[0, 0, 0, 1]",(-2.5475440813364814-1.0374755305923056j)
"[1, 1, 0, 1]",(0.409221852763758-0.9673719621512862j)
"[1, 1, 1, 1]",(1.792522257148122+1.020975458841389j)
"[0, 0, 1, 1]",(-3.1609249760430975+0.9821199219383748j)
"[0, 1, 0, 0]",(-0.28328858478188323-3.4492267209248895j)
"[0, 0, 0, 0]",(-2.9593585914295306-2.8883496063788776j)
"[0, 0, 1, 1]",(-3.4267702952645154+0.819553760746312j)
"[1, 0, 1, 1]",(3.85016264435117+0.87989444740491j)
"[0, 1, 1, 0]",(-1.2791268042379507+2.393938631170721j)
"[0, 0, 0, 1]",(-3.0897715887584027-0.5919444209373684j)
"[0, 0, 0, 1]",(-2.4942335733330734-0.9127763705265712j)
"[0, 0, 0, 0]",(-2.5650241963373257-3.3241703786107806j)
"[1, 0, 1, 0]",(2.617438113792623+2.5453043988930335j)
"[0, 0, 1, 1]",(-3.0634588598333563+1.2593778663339539j)
"[0, 0, 1, 1]",(-2.7741703909970408+1.2082013644870573j)
"[0, 0, 1, 0]",(-3.2502176759472974+3.6179485947199814j)
"[1, 0, 1, 0]",(3.1122534062916114+2.8037129013515862j)
"[1, 0, 0, 0]",(3.4806849800432116-3.13245896787667j)
"[0, 1, 0, 0]",(-0.30170972844948074-2.305384662638758j)
"[1, 0, 1, 1]",(3.2594462818118606+0.817201270842568j)
"[1, 0, 0, 1]",(3.649588051732561-0.7435558979642365j)
"[0, 0, 0, 0]",(-2.9650423656058633-3.1578625866980747j)
"[1, 0, 1, 1]",(2.9952699399067657+0.8007239118199225j)
"[0, 0, 0, 0]",(-3.121284628697514-3.094580586825251j)
"[1, 0, 0, 1]",(3.047177559509046-1.208289234781427j)
"[1, 0, 1, 1]",(3.130111352510619+0.826701892744266j)
"[0, 0, 0, 1]",(-3.6415875612455193-1.6964022544710087j)
"[0, 0, 0, 0]",(-3.5779421847219344-2.8803987049362476j)
"[1, 0, 1, 1]",(2.7731689356717015+0.7375121761779246j)
"[1, 0, 0, 0]",(2.9017955138066887-2.639074282680902j)
"[0, 1, 0, 0]",(-1.7780653183108905-2.925458951810325j)
"[1, 1, 0, 1]",(0.3525126098660213-0.4945180217529497j)
"[1, 0, 1, 1]",(3.0483959044247517+1.3208749547729335j)
"[1, 1, 0, 1]",(1.1397960532041518-0.8223850967368147j)
"[0, 0, 1, 0]",(-3.2396188016697334+3.018291291008403j)
"[1, 1, 1, 1]",(0.25444143717316703+1.3875128038108355j)
"[1, 0, 0, 1]",(2.3486667617779755-0.4939629918546231j)
"[1, 1, 0, 1]",(1.3686563460929526-1.4496090367877634j)
"[0, 0, 1, 0]",(-2.559619261900071+3.5387616746327484j)
"[0, 0, 0, 1]",(-2.814213796257815-1.2901543395787822j)
"[1, 0, 0, 1]",(2.9807884009330645-0.967833073383327j)
"[0, 0, 1, 1]",(-2.7070779514291337+0.8321226855961052j)
"[1, 0, 1, 1]",(2.6399939795561735+1.084667008859785j)
"[1, 1, 0, 0]",(0.8755992736395043-2.9270931291639495j)
"[0, 0, 0, 1]",(-3.2629298379328637-1.0439234571889686j)
"[1, 0, 0, 1]",(2.726521539569148-1.4380257612735299j)
"[0, 0, 1, 1]",(-3.2053950591456486+1.0549537801847046j)
"[0, 0, 0, 1]",(-3.057412915581527-0.794988719338255j)
"[0, 0, 1, 1]",(-3.074532160366634+0.748859029884898j)
"[1, 1, 0, 0]",(0.6036527433694296-2.711617228623544j)
"[1, 1, 1, 1]",(1.227222248603872+1.26027354345942j)
"[1, 0, 1, 0]",(2.5409393657337103+2.45255198719719j)
"[0, 0, 0, 1]",(-3.1154923448087826-1.6873025756753608j)
"[0, 1, 0, 0]",(-1.0623783298938645-2.1632016515488397j)
"[1, 1, 0, 0]",(0.8702124144617349-2.885037255544263j)
"[1, 0, 0, 1]",(2.5729107216006466-1.3667979045337832j)
"[0, 1, 1, 0]",(-1.491342351696414+3.2709566387300217j)
"[1, 1, 0, 1]",(0.5573662065412546-0.4024371150768403j)
"[0, 1, 1, 0]",(-1.182549838068569+2.881927966698855j)
"[0, 1, 0, 1]",(-1.0941662910408634-1.2269796469445988j)
"[1, 1, 0, 0]",(1.2728439390430797-2.8820333436117176j)
"[0, 1, 0, 1]",(-1.535428141673-1.4226942711627455j)
"[1, 1, 0, 1]",(0.8244228380666896-1.6155476836396079j)
"[1, 0, 0, 1]",(2.5818842764314005-0.563032676855706j)
"[1, 1, 1, 0]",(1.426461574711078+3.0942282159403662j)
"[0, 1, 1, 0]",(-1.2175405429926673+3.3593793836583936j)
"[0, 0, 0, 1]",(-3.227523927101563-0.9537082937190643j)
"[0, 0, 0, 1]",(-2.278036073043884-0.1686849253030701j)
"[1, 0, 0, 1]",(3.249561290015244-1.7988363536391367j)
"[0, 1, 1, 0]",(-0.6704643709267042+2.8250798739825678j)
"[1, 0, 1, 0]",(2.8958791180113663+2.956947134246844j)
"[0, 0, 1, 0]",(-3.0773287151241244+2.75203151695627j)
"[0, 1, 0, 1]",(-0.7487569504877385-0.941810030100444j)
"[1, 1, 1, 0]",(0.6617132111308066+3.316548840724265j)
"[1, 0, 0, 1]",(2.639700827806026-0.9416326272241151j)
"[1, 0, 0, 0]",(3.15600519226013-2.76321996822664j)
"[1, 0, 0, 0]",(2.806988081326235-3.3137831898529235j)
"[1, 0, 1, 1]",(2.5719932185781866+1.0921259876353147j)
"[1, 1, 1, 1]",(0.08072389083226439+1.4303893602529878j)
"[1, 0, 1, 0]",(2.7925181144895017+3.8130844970308493j)
"[1, 1, 0, 0]",(0.7402132149101908-3.133029090729561j)
"[1, 0, 0, 0]",(3.3412552468620142-2.955744284936803j)
"[0, 1, 0, 1]",(-1.0086729172585316-0.8244491582748598j)
"[0, 0, 0, 1]",(-3.659466895161509-1.1988251486565291j)
"[1, 1, 1, 0]",(1.0138995269260684+2.900113682382827j)
"[1, 1, 0, 1]",(0.7733404388144868-1.140884028629961j)
"[1, 1, 1, 0]",(1.61050106165652+3.015040707117643j)
"[0, 1, 0, 0]",(-0.6985236782797586-3.286825070503954j)
"[1, 1, 1, 1]",(0.9626048759570625+1.2062726641274049j)
"[0, 0, 1, 1]",(-3.017759533566516+0.6181097236966837j)
"[1, 0, 1, 1]",(3.4465266984802154+1.4936727864644237j)
"[0, 1, 0, 0]",(-1.0862046623685004-2.979958203314059j)
"[0, 1, 1, 0]",(-1.26804612863399+3.122104361401061j)
"[0, 0, 0, 0]",(-3.132781733074116-3.2669948120894228j)
"[0, 0, 1, 0]",(-3.306284786134479+3.0215494404244967j)
"[1, 1, 1, 0]",(0.9616718742503516+2.745413219073358j)
"[1, 1, 0, 0]",(1.0824464901682387-2.9886426128638757j)
"[1, 0, 0, 1]",(3.427157598038595-0.6611384445075634j)
"[1, 1, 1, 0]",(1.4307470078201474+3.1640432499668694j)
"[0, 1, 0, 1]",(-1.206425853889723-0.9763862170875665j)
"[1, 1, 1, 1]",(1.0791193533171508+1.4830288090027648j)
"[0, 0, 0, 1]",(-3.0386061205609893-0.682909791661946j)
"[1, 0, 0, 1]",(2.272644541453106-0.7663561154638621j)
"[1, 0, 1, 0]",(2.9359211721469687+3.0075911999244376j)
"[0, 1, 0, 1]",(-1.014574883051633-0.915184371794223j)
"[1, 1, 1, 1]",(0.7731747667418827+1.1118548026642556j)
"[0, 0, 1, 0]",(-3.4894114272622123+2.745678870884357j)
"[1, 0, 0, 0]",(2.3602420813802665-3.270075733837079j)
"[0, 1, 1, 0]",(-0.6871895010849839+2.711289426313809j)
"[0, 0, 0, 0]",(-3.1850536509709055-3.0146389130078144j)
"[1, 1, 1, 0]",(0.7351301506089067+2.889272894255556j)
"[0, 1, 1, 0]",(-1.380033139057951+3.6699644526132245j)
"[1, 0, 0, 0]",(2.9883915871073095-3.0060451421682677j)
"[0, 1, 0, 1]",(-1.254361217070076-1.1119154094164285j)
"[0, 1, 1, 0]",(-1.0380618415252807+3.0400016436746613j)
"[0, 0, 1, 1]",(-3.3933176134527168+0.1628944842998703j)
"[0, 0, 1, 1]",(-3.276157232711989+1.0094084794776768j)
"[1, 0, 0, 1]",(2.3996161732467214-0.8309302205172505j)
"[0, 1, 1, 1]",(-0.7818303975476814+1.3526598555679838j)
"[1, 0, 1, 1]",(2.3550802135559117+0.3348292401111109j)
"[1, 0, 1, 0]",(2.7351366185820662+3.0152524772281657j)
"[0, 0, 0, 0]",(-2.8676906925566823-2.7930987628200104j)
"[1, 1, 0, 1]",(1.4599104079998306-1.0960195917307713j)
"[0, 1, 0, 0]",(-0.5885136791229073-2.98909117965959j)
"[1, 1, 0, 0]",(0.36996956997557395-2.2342250534468597j)
"[1, 0, 0, 1]",(3.0632491227725067-0.5588338453726718j)
"[0, 1, 0, 1]",(-0.6627797119772508-0.4970614889998649j)
"[0, 1, 0, 1]",(-0.4064753916944954-1.1497944124551065j)
"[0, 0, 0, 1]",(-3.4650075212183933-1.3040532622540997j)
"[0, 0, 0, 1]",(-3.5005975201992854-1.1869626446911608j)
"[1, 1, 1, 0]",(1.0329209352207684+2.6800223413221618j)
"[1, 0, 0, 1]",(2.8306560994479577-1.1324939438263892j)
"[1, 0, 0, 1]",(3.6817525143676333-1.3518615782767445j)
"[0, 1, 0, 1]",(-1.8368503520372297-0.9041340784322179j)
"[0, 0, 0, 1]",(-2.5600320122778335-0.7279521292334135j)
"[0, 0, 1, 1]",(-3.094172116020785+1.532821035553802j)
"[1, 0, 0, 0]",(2.5476803888215582-2.884602633217396j)
"[1, 0, 0, 1]",(3.1309514340597993-0.8736943158213428j)
"[0, 1, 0, 0]",(-0.48188662500463386-2.791556915479962j)
"[1, 0, 1, 0]",(2.742539835752089+3.1940141329750578j)
"[1, 1, 0, 1]",(1.0667586519759367-0.8610753765069135j)
"[0, 0, 1, 1]",(-3.1735595380586084+0.7028393975009148j)
"[1, 0, 0, 1]",(3.168763921956286-1.3650816100939553j)
"[1, 0, 1, 1]",(3.3885134648121698+1.3989771228331584j)
"[0, 1, 0, 1]",(-1.3759456882606693-0.2554914355118634j)
"[0, 0, 1, 1]",(-2.7480411327364416+0.46893985492701995j)
"[0, 1, 0, 1]",(-1.1893321844526963-1.1030217508566547j)
"[1, 1, 0, 0]",(0.43584521646098395-3.0163587145056443j)
"[1, 1, 0, 0]",(0.24322850101920723-3.403596187170397j)
"[1, 1, 0, 1]",(1.9673813260857616-1.1780447111908414j)
"[0, 1, 0, 1]",(-0.7483152697186893-1.5104778824952674j)
"[0, 1, 1, 0]",(-0.7433258778656069+2.7426318429031027j)
"[1, 1, 1, 1]",(0.6303310536144996+0.5380769324053101j)
"[0, 1, 0, 0]",(-1.6403959682404383-2.568512511108013j)
"[0, 1, 0, 1]",(-0.3788002699307972-1.2891794370095893j)
"[0, 0, 1, 1]",(-3.0655571520766762+1.3382060440888166j)
"[0, 0, 1, 0]",(-3.046459123981428+3.081897489459753j)
"[0, 1, 0, 1]",(-1.0572869162144456-0.7124967595559988j)
"[0, 1, 1, 0]",(-1.057362069383312+2.9867685393018095j)
"[1, 1, 0, 1]",(1.0789089357630284-0.424030304796263j)
"[0, 0, 1, 0]",(-2.7226783485011543+3.2730688639364027j)
"[0, 0, 0, 1]",(-2.926988995489592-1.286840595733765j)
"[0, 0, 1, 0]",(-3.7916557573469647+2.8059409426203072j)
"[1, 1, 1, 0]",(0.788562847707095+2.5662315826915j)
"[1, 0, 0, 1]",(2.629465709924547-0.7253590966464241j)
"[0, 0, 1, 1]",(-3.3427505381031075+1.980016131596395j)
"[0, 1, 1, 1]",(-0.902535456787751+1.224459149074101j)
"[1, 0, 1, 0]",(3.7174234909178114+2.249958042418709j)
"[0, 1, 1, 0]",(-2.1091123779911536+3.169957055494647j)
"[0, 0, 0, 1]",(-3.2027676190722074-0.7474554964300564j)
"[1, 0, 1, 1]",(3.1975653249588256+0.6196555761803858j)
"[1, 1, 1, 1]",(0.7413928754521455+1.2154628232742966j)
"[1, 0, 0, 0]",(3.4131592039193652-3.0960638892822256j)
"[0, 0, 0, 1]",(-2.959824131762225-0.44581027222710634j)
"[1, 1, 1, 0]",(1.045725553863374+3.6000390477783286j)
"[0, 1, 1, 1]",(-1.2884038419198094+1.43197694188849j)
"[1, 1, 0, 0]",(0.9051526958500029-3.2718546273263325j)
"[1, 1, 1, 0]",(1.2000362356307217+2.5541874029407263j)
"[0, 0, 0, 0]",(-2.6884898308305134-3.2478194914421183j)
"[1, 0, 0, 0]",(3.128335265742645-3.430219130713015j)
"[0, 1, 0, 0]",(-1.6299702365968798-2.7337305025359626j)
"[0, 0, 0, 1]",(-2.3346198580028563-1.7208045504814071j)
"[0, 1, 1, 1]",(-0.9141446021097609+1.186432411971134j)
"[0, 0, 1, 1]",(-2.565556210440043+0.3954630351006624j)
"[0, 0, 1, 1]",(-2.7985319366138186+1.0005607165501433j)
"[0, 1, 0, 0]",(-1.2365364059242752-3.2411216037019743j)
"[1, 1, 0, 0]",(1.0038528650008578-2.8846798816517767j)
"[1, 0, 0, 0]",(2.573887930453254-2.5505585070758667j)
"[1, 0, 0, 0]",(3.0838631894023663-3.799958413177625j)
"[1, 0, 1, 0]",(2.3205068796367594+2.523421433052619j)
"[1, 1, 1, 1]",(0.5565864516501007+0.8858485000567612j)
"[1, 1, 0, 0]",(1.6168447227375111-2.859451323339674j)
"[0, 0, 0, 1]",(-2.914465209590189-1.110394373854801j)
"[1, 0, 0, 1]",(2.8957982648786893-1.1386130183200311j)
"[0, 0, 0, 0]",(-2.9114942910923287-2.499201823877482j)
"[0, 0, 0, 0]",(-3.1501456951461035-3.47604021064186j)
"[0, 0, 1, 1]",(-2.9251819134296375+1.4214173244799198j)
"[1, 0, 0, 0]",(2.919515649795049-3.5754318204313265j)
"[1, 1, 1, 1]",(0.6087496502078835+1.1727854522219656j)
"[0, 0, 1, 0]",(-3.1306963103469667+2.657345766865735j)
"[1, 1, 1, 1]",(1.1059246766716484+1.7339597277917649j)
"[1, 0, 0, 1]",(3.152525977864539-1.0746802585670536j)
"[1, 0, 0, 0]",(3.3246562575847163-2.716875464725314j)
"[1, 0, 1, 0]",(2.8866959853226892+3.4122028135432974j)
"[1, 1, 1, 1]",(1.8766951383584964+0.8147034833012436j)
"[0, 1, 1, 0]",(-1.0933010002651973+3.039931657553495j)
"[0, 1, 1, 1]",(-0.500950587409597+1.3763918480611632j)
"[0, 0, 1, 0]",(-2.95423473278302+2.5476001386242104j)
"[0, 1, 0, 1]",(-0.8995701687322188-0.5480508998254997j)
"[0, 1, 0, 1]",(-0.8998010195778328-1.6409860792075586j)
"[0, 0, 1, 0]",(-2.762138211140862+2.704207852063272j)
"[0, 1, 0, 1]",(-0.7823230704099908-1.0039599185945716j)
"[0, 0, 0, 1]",(-2.737470577638129-1.026773889691353j)
"[1, 0, 1, 0]",(3.451953300406454+3.489033469806672j)
"[0, 1, 0, 1]",(-0.22282838238857117-0.5321297918721615j)
"[1, 0, 0, 1]",(2.740792782903212-0.8515056808264608j)
"[1, 0, 0, 1]",(3.313359069385133-1.3040727017812574j)
"[1, 0, 0, 1]",(2.829363852399594-0.5509175612932735j)
"[1, 1, 0, 0]",(0.8803984721379876-3.4002641279697463j)
"[0, 0, 1, 0]",(-3.767390853598313+2.3188827792558553j)
"[1, 1, 1, 0]",(1.0757189475104307+3.2891448797170555j)
"[0, 0, 0, 1]",(-3.159822236306541-1.443251436726726j)
"[0, 1, 1, 1]",(-0.5824973432919855+1.69247236440421j)
"[0, 0, 1, 0]",(-2.8860939773185508+2.917422746404304j)
"[0, 1, 0, 1]",(-1.0441171884618852-1.2541955568814458j)
"[0, 0, 0, 0]",(-3.1989439476721433-3.37256540995375j)
"[0, 0, 0, 0]",(-2.2933041476815843-2.8469853942017624j)
"[1, 0, 0, 1]",(3.0862744297813918-0.9974870963982385j)
"[1, 0, 0, 1]",(3.2070633535351134-1.4543753319650963j)
"[0, 0, 0, 0]",(-2.4309819343010175-2.957979291593205j)
"[0, 1, 0, 0]",(-1.6180263678768867-3.3640942319539584j)
"[1, 1, 1, 1]",(1.4920606256025624+0.5195645862217958j)
"[1, 1, 1, 1]",(1.071903755235691+1.0237691885548494j)
"[0, 1, 1, 0]",(-0.8245981329539676+3.2711210149966816j)
"[0, 0, 1, 1]",(-2.914980246055009+1.7659573079596527j)
"[0, 0, 0, 1]",(-3.2556419757819-1.1653853928127467j)
"[1, 0, 0, 1]",(2.5744275701068977-1.0557062682566203j)
"[1, 0, 0, 1]",(3.8840844869947886-0.840514492430506j)
"[1, 0, 0, 1]",(2.9464188743738853-1.5137083937204543j)
"[1, 0, 1, 0]",(2.829257631463146+2.2722260384087516j)
"[0, 1, 1, 1]",(-0.919503133492343+1.640607419490396j)
"[1, 1, 0, 1]",(0.2214975217459686-0.9399060716435085j)
"[0, 0, 1, 1]",(-3.077265912346022+0.18482424407630804j)
"[0, 1, 1, 0]",(-0.2138425698793992+2.476425511381011j)
"[0, 1, 1, 1]",(-1.0514309108278521+1.0093575073129386j)
"[1, 1, 0, 1]",(1.374541712945713-1.796827507191703j)
"[1, 0, 1, 1]",(2.688991019950199+1.3323948282544533j)
"[0, 1, 0, 0]",(-1.2159659306303274-2.946685261749169j)
"[0, 1, 1, 0]",(-0.9850200780329827+2.4059651139852267j)
"[1, 1, 0, 1]",(1.9825209825788515-1.3112450577259005j)
"[1, 1, 0, 1]",(1.9156576601826982-0.481126337023873j)
"[1, 0, 1, 1]",(3.2430606636296595+0.33506186401070626j)
"[0, 0, 1, 0]",(-2.653508267377399+2.7877390525738748j)
"[0, 1, 1, 0]",(-1.4470389727899895+2.799915481181038j)
"[1, 1, 1, 0]",(1.5339034419741133+2.6475347799682045j)
"[0, 1, 1, 1]",(-1.1054131768724331+1.1872710874162276j)
"[1, 0, 0, 0]",(2.840861319058458-2.9999590233250064j)
"[1, 0, 1, 0]",(3.7394268072227694+2.500155108778034j)
"[1, 0, 1, 1]",(2.755683803990858+1.0569950510523214j)
"[1, 0, 0, 1]",(3.7159174136489663-0.9081454758802591j)
"[0, 0, 1, 1]",(-3.325880639492977+0.37091699639294473j)
"[0, 1, 0, 0]",(-0.5408327372501429-2.5473472461831017j)
"[1, 1, 0, 1]",(1.1824850755717642-0.1829986344746376j)
"[0, 1, 0, 1]",(-1.1314936295079543-1.6342373808921486j)
"[0, 1, 0, 1]",(-0.7631129590211493-0.4822693158086495j)
"[1, 0, 0, 1]",(2.7375355438244786-1.3000228650222208j)
"[0, 0, 1, 1]",(-3.276008123914089+0.4455806113269256j)
"[1, 1, 0, 0]",(1.0024773029185683-3.4019157474932835j)
"[1, 1, 0, 1]",(0.58000194707746-1.0710541701796712j)
"[0, 0, 1, 1]",(-3.2499660113869027+1.5170836832981995j)
"[1, 1, 0, 1]",(0.939730208881948-1.2835798633849809j)
"[0, 0, 0, 1]",(-3.948429788022027-0.8089448009689202j)
"[1, 1, 1, 1]",(1.8499160170335456+1.1066104238863268j)
"[1, 1, 1, 1]",(0.9023767860028736+0.7990544840702971j)
"[1, 0, 1, 0]",(3.629116624404501+2.3261717153008603j)
"[1, 1, 0, 0]",(0.9401026701986617-3.2014188024654597j)
"[1, 0, 1, 0]",(2.2929255370123585+3.1218683103122085j)
"[1, 0, 0, 1]",(2.966658237760155-1.005719460259068j)
"[1, 1, 0, 0]",(1.494200737246322-3.4584088223803424j)
"[0, 1, 1, 1]",(-1.8416159386807571+0.7411530921909242j)
"[1, 1, 1, 0]",(1.0999902191131403+2.6077874890206814j)
"[0, 0, 1, 1]",(-2.8692672490581987+0.5478975704471187j)
"[1, 0, 1, 1]",(3.018984739775479+0.7389768380337095j)
"[1, 1, 0, 1]",(0.7530394673593535-1.1196416929520105j)
"[1, 1, 0, 1]",(0.9232355156113013-1.4916016470796503j)
"[1, 0, 1, 0]",(2.1866990144888954+3.011063156897475j)
"[0, 0, 0, 0]",(-2.673509009699943-3.2319998423543783j)
"[1, 1, 1, 1]",(1.4100283516082825+0.796758234076998j)
"[0, 1, 1, 1]",(-1.5055700909213947+0.7833724707059838j)
"[0, 0, 1, 0]",(-2.692688435474145+3.460479564649209j)
"[0, 1, 1, 1]",(-0.34373778065671934+1.219801600247512j)
"[1, 0, 0, 0]",(2.9878441804068565-2.949585888235947j)
"[1, 0, 0, 0]",(3.2997423207970935-3.0400337955513153j)
"[1, 1, 0, 0]",(1.2228056918926693-3.2031844910144245j)
"[0, 0, 1, 0]",(-2.6451879746150206+2.898687119075272j)
"[1, 1, 1, 0]",(0.9895221881010524+3.458372075350409j)
"[1, 0, 0, 0]",(3.277084333626011-2.728506521258311j)
"[1, 1, 1, 1]",(0.952208951722505+0.9032877491344621j)
"[1, 1, 1, 1]",(0.8108171897744367+0.8641395418317401j)
"[1, 0, 0, 1]",(2.445526035291853-1.4969124223870915j)
"[0, 1, 0, 0]",(-1.2053209305425687-3.7442524224902343j)
"[0, 0, 0, 0]",(-3.7426133190790702-2.7149788794699656j)
"[1, 0, 0, 1]",(2.5619685030648274-0.899563913793783j)
"[0, 0, 0, 1]",(-2.658395469275321-1.827268154921852j)
"[0, 0, 1, 0]",(-3.2386174841188433+3.278163940542576j)
"[0, 1, 1, 0]",(-1.390633327124694+2.79487172031825j)
"[0, 0, 0, 0]",(-3.2706364027297394-3.3429225680512764j)
"[1, 0, 1, 0]",(3.3712910740061757+3.069817130513396j)
"[0, 0, 1, 0]",(-3.6945837183954806+3.14541139846451j)
"[1, 0, 1, 0]",(3.0524092957995914+3.397391897444784j)
"[0, 0, 1, 1]",(-3.044167896742633+1.2038094187209993j)
"[0, 1, 1, 1]",(-0.9490939300152083+0.5016347959503231j)
"[1, 1, 1, 0]",(0.9252255784272596+2.654833939425912j)
"[1, 0, 1, 0]",(3.4816860214009835+3.3598486088443846j)
"[0, 0, 0, 0]",(-3.338028715241237-3.6717045261169803j)
"[1, 0, 1, 1]",(2.6454525495733274+0.7156973596433384j)
"[1, 1, 0, 0]",(0.3804604601221704-3.0602780022879847j)
"[0, 1, 1, 1]",(-1.6677994499577906+0.7368818850987205j)
"[1, 1, 1, 0]",(1.2669050221319371+2.9095885183240657j)
"[1, 0, 1, 1]",(2.9865623813349065+0.44471303697659503j)
"[0, 1, 0, 0]",(-0.6978427553418167-2.4717582671324285j)
"[0, 0, 1, 0]",(-2.548871725514996+2.478524541361692j)
"[0, 0, 0, 0]",(-2.5845909371849616-3.3527005264953678j)
"[1, 0, 1, 0]",(3.630396804207853+2.0492765582514734j)
"[1, 1, 1, 0]",(0.6896692377955309+3.062210365946463j)
"[0, 1, 1, 1]",(-1.1994203488514377+1.240616054530762j)
"[1, 0, 0, 0]",(2.533401573538677-3.6106930824257972j)
"[0, 1, 0, 0]",(-1.6835847761824594-3.2618104973735433j)
"[0, 0, 1, 0]",(-2.3795025885900314+3.1599692870978475j)
"[1, 1, 1, 1]",(0.5791740662996856+0.15663905580992576j)
"[1, 0, 0, 0]",(3.3559358883633976-3.3651880326367025j)
"[0, 0, 1, 1]",(-3.6329600625851235+1.800101131012706j)
"[1, 0, 0, 0]",(3.763236868476218-3.553325697772502j)
"[0, 0, 1, 0]",(-2.5500142386966234+2.7918292504906277j)
"[0, 1, 1, 1]",(-1.0502918691517897+1.0770231247953594j)
"[0, 0, 0, 0]",(-3.203408576488866-2.957278746164249j)
"[0, 1, 1, 0]",(-1.3737328392211037+2.8835280030411004j)
"[0, 0, 0, 0]",(-3.085796589038941-3.575102797116835j)
"[1, 0, 1, 0]",(3.4456441134420355+3.1959623523583804j)
"[1, 1, 0, 0]",(-0.3015061219199868-2.557583481362502j)
"[0, 0, 1, 0]",(-2.673778436659842+2.9414843783336893j)
"[0, 1, 0, 0]",(-0.8261349690016544-3.743340486053384j)
"[0, 0, 0, 1]",(-3.6436183133619267-1.3582212306690498j)
"[0, 1, 0, 0]",(-1.026938251124115-3.300723311373177j)
"[1, 1, 1, 1]",(0.998603374367746+1.2697099079565088j)
"[0, 1, 1, 1]",(-0.7966997321650364+1.5235117014563548j)
"[0, 0, 1, 1]",(-2.5059579728761454+1.4906337973569972j)
"[1, 0, 1, 0]",(3.2543458551172115+3.2432471476711364j)
